Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,intv_test_loss 
101,128.26531249465364,90.59896955056743,103.94298432715328,91.70968738504324,667.1902617173515,1025.4851712099394,314.5513998672353,112.21559945968184 
102,51.574288579550654,44.668207192605934,51.26222948612687,38.15635237537208,803.5592359179168,1241.6045957029057,237.97167337085483,49.40711587431724 
103,74.14607177629615,47.78598724567322,54.230223625474736,39.36803332090858,864.681846029662,1469.259165675106,200.63042419364064,50.62874832764574 
104,68.7985569690213,90.92984746329927,106.04883196855614,85.83095533293672,723.8755331973837,1112.6090770140938,417.9823326488055,88.673977458608 
105,39.10198746757074,58.11581938890029,75.32017764409426,64.25861674589851,824.3991800110118,1278.060804098572,302.0552838673721,62.15808052676512 
106,62.94404704010848,43.912858368393145,49.59790535123466,50.11871945244566,813.5022723178889,1441.6325705904048,231.6512926622163,58.07472573538034 
107,57.3591179468415,44.028318985296615,45.51860957230302,39.82845017738437,811.2325009208496,1330.0387073144334,215.4753303432699,45.91997570445092 
108,43.96950148723342,34.32351765786815,45.40865460768631,34.56717474106845,717.5897460773646,1333.7760248655925,239.98811251978057,38.490616726345614 
109,39.314688087412804,30.71287045512549,38.77608580254875,27.084585569714545,700.7059871582053,1287.414330277266,207.85849636167694,36.72761195750936 
110,29.7888347371058,39.267959736412294,46.19515601865068,33.26097281592301,706.0462643454673,1413.6349897427485,217.70645735298748,39.346488740920904 
111,43.23126357613188,73.78108777316326,84.83647158664017,77.59429966145107,749.0455508048049,1473.8972837880021,179.52955742139892,81.08943520172689 
112,150.29189643083197,88.25268320981155,80.41196088587962,102.87291417207162,616.5397433127331,786.2850669743283,173.9486641982141,99.9978080817791 
113,172.6912077629205,140.5407554051546,141.57509983400166,116.23767905182031,653.9825229864774,1237.169134833198,226.07175650073913,133.42862448317538 
114,70.42341954780348,53.83273343936909,77.88003972959126,55.06102708067647,582.7789008262043,1265.2826483243903,262.565489022604,65.68997597137131 
115,66.55037328600883,67.7403899448497,81.69498299478194,75.62035555276161,593.2347300407708,1209.5843904365029,292.3288829291385,82.31182093493425 
116,40.81720348560449,150.82053881119808,179.0752509921634,173.91874618993023,721.0702398369264,1478.7048242847202,200.98364259003137,204.23557264144765 
117,168.64007998144987,310.07664520562525,344.0185665874742,262.81429721447637,578.5385177786759,1350.0862748292973,361.98911004648545,274.87367858314246 
118,148.62178667928234,66.0724706124343,73.52167741703144,60.87953761163881,559.667955759402,1239.00276101958,174.16048465438362,74.25564113326035 
119,144.09936704870427,309.2599505639939,352.27339824547784,377.3596243310429,580.882249029779,833.1479301252803,521.25459479946,348.8107355077176 
120,393.7523842761011,219.32430365739614,238.23745182782943,241.25412100683567,432.5550982286135,575.1404303919495,208.79387135960422,241.6414786174431 
121,112.27916643926592,100.33200020219131,119.34616020484181,88.44646914109052,487.2353342307763,859.6134765138456,289.93176390844525,108.64364599612308 
122,128.19852079405928,85.52875616289222,102.77429952056426,76.67886569763286,562.3699229380818,908.2020087872631,206.54657295911764,97.18012860189064 
123,52.551930194551296,47.73746913483693,56.22656608187976,41.38564865743465,575.1577191581393,887.516342767603,250.30435633314846,44.85660726373608 
124,35.82290525011944,35.549522861550535,47.594071787820816,32.2652276391842,602.6323376678907,990.8846015342394,196.9676791502201,38.78129096753619 
125,31.704494311954036,41.733851617644376,53.04596211913627,44.15440619772708,598.9064967273094,1003.3824137746822,226.52864601079781,52.4299930890691 
126,35.909007049419664,38.08425895915975,41.14774573270794,40.49885656730039,574.9992136961736,1005.5015074399798,223.6010344516282,41.265334645254185 
127,66.32575309186271,115.16731878432296,136.27911522471246,170.0445569545316,648.5855847702779,943.6821778282712,143.44393558302983,159.79066077808966 
128,95.82432667640123,50.904904703963744,57.62978652970438,56.77690744381762,596.9194367063268,1082.3071291345636,187.13988881242113,61.535869192725656 
129,37.20462211605275,48.246290293409,55.39468002507298,50.216701896509036,615.1855738881452,1171.226373965363,216.36851575136242,49.11542647458045 
130,27.572420002384618,33.618208930472775,42.53051064472432,29.996805406370733,575.8738778171223,1024.8899676246103,194.96994521819724,35.04566706968617 
131,47.52366206411159,35.52598811606569,47.27797745625321,29.96392401047269,525.6260625227543,971.9159762318989,175.5374207456429,38.18384702790318 
132,50.35314843284361,150.6771519891368,162.78296554558457,128.68879779462094,696.7100063808087,1346.8686196540277,220.50533820125875,139.37767732496158 
133,88.31681557225458,54.277888557479955,71.41092559632267,56.16400168685377,583.8208659095461,976.2787996636005,165.0395137084277,70.48689956222806 
134,82.27453812053709,57.536420066239465,59.04791728915653,45.70103437719736,459.16231029449426,835.6371628832072,194.04162312865373,50.306496464269 
135,68.3324931697412,56.41250473686119,72.3084547941746,54.05238017496176,617.1553872889436,769.2784135952941,274.09188053383355,57.77342066281926 
136,47.469256005503915,52.172399982961196,53.767718395221486,58.73235953066251,615.1347316089051,773.8016805725871,189.56329238230538,56.842062454301775 
137,82.8866113090154,71.52589105959244,78.54914885734453,74.45329035816047,754.272669637631,1068.737144725665,167.61002455885537,80.43474465665349 
138,29.295488492105946,32.18713994381445,39.837206801040644,28.513295662622113,578.9065982303166,978.0207493909431,189.44069775774625,35.08631539706548 
139,28.575344236962724,132.2036142672037,145.44008934670194,136.6326784792822,612.2772480437409,1220.0783085671812,182.6041175139633,162.8964760874078 
140,60.57486102888078,79.28828603554656,96.5630858779154,109.69808052762309,637.9016956315866,870.3853181879036,161.91424310712537,102.16001342493328 
141,122.02767648480155,103.22748200169897,132.68355065212057,95.82167795244895,649.1926944690495,831.9508623798391,284.4297300171958,112.35692811029075 
142,243.52177661476713,308.6270576727111,318.76666241178305,246.45114536560885,642.6915905386282,618.9013523372776,724.1728974192614,241.38932664863532 
143,237.48571710153058,159.08843623230416,164.4431107399691,134.54655904901446,989.7235894042577,293.6398429588552,422.47976734619004,143.4786419191223 
144,262.7100655526826,257.42318410702217,282.46375595848076,282.05438706138006,691.5140432028071,388.86836285947004,457.72219062488875,310.64854604707796 
145,102.27069475434043,51.369284722038884,58.627631560289956,54.77806876332325,496.32388231608945,788.8967044829857,203.21843102867496,63.200246133955076 
146,41.82577042868643,45.51655308896847,54.58013167974342,40.01185733753518,664.5271009066357,735.5909289178984,149.04836565320875,50.95141138531981 
147,52.622689690553784,42.06535944984838,58.77344214252197,47.41044471629139,712.5053501874605,861.4759544672721,220.93823467851325,48.04006633932367 
